text,category,solution,is_devops
"gcloud auth login error 403 forbidden",AUTH_ISSUE,"Run 'gcloud auth login' in the terminal.",1
"connection refused by host port 22",NETWORK_ERROR,"Check your VPN connection or firewall settings.",1
"user does not have permission to access project",AUTH_ISSUE,"Request IAM permissions for this project.",1
"pip install kubectl error no matching distribution",PIP_ERROR,"This tool cannot be installed via pip. Ask DevOps to install it.",1
"cuda out of memory",RESOURCE_ERROR,"Your GPU is full. Try reducing batch size.",1
"disk quota exceeded",RESOURCE_ERROR,"Clean up old files or request more storage.",1
"syntax error unexpected indent",SYNTAX_ERROR,"Check your indentation.",0
"division by zero",LOGIC_ERROR,"Check your math logic.",0
"list index out of range",LOGIC_ERROR,"You are trying to access an item that doesn't exist in the list.",0
"file not found in directory",DATA_ERROR,"Check if the file path is correct.",0
"ModuleNotFoundError No module named",MISSING_LIBRARY,"Run '!pip install <package>'.",0
"No module named 'pandas'",MISSING_LIBRARY,"Run '!pip install <package>'.",0
"No module named 'tensorflow'",MISSING_LIBRARY,"Run '!pip install <package>'.",0
"No module named 'scala'",MISSING_LIBRARY,"Run '!pip install <package>'.",0
"ImportError cannot import name",MISSING_LIBRARY,"Run '!pip install <package>'.",0
"ERROR: Could not find a version that satisfies the requirement",PACKAGE_NOT_FOUND,"Package missing from Nexus. Ask DevOps to append it.",1
"No matching distribution found for",PACKAGE_NOT_FOUND,"Package missing from Nexus. Ask DevOps to append it.",1
"memcache.go couldn't get current server API group list dial tcp connection refused",K8S_NETWORK,"The local Kubernetes proxy is unreachable. Check if 'kubectl proxy' is running or if the host/port is correct.",1
"The connection to the server was refused did you specify the right host or port",K8S_NETWORK,"The Kubernetes API server is unreachable. Check your kubeconfig or VPN.",1
"Access Denied: BigQuery BigQuery: Permission denied while writing data",GCP_IAM_ERROR,"You do not have write access to this BQ dataset. Request IAM roles.",1
"Not found: Table",GCP_DATA_ERROR,"The BigQuery table does not exist. Check project.dataset.table spelling.",0
"Resources exceeded during query execution: The query could not be executed in the allotted memory",GCP_RESOURCE_ERROR,"Your SQL query is too heavy. Try filtering data or using partitions.",0
"403 Forbidden GET https://storage.googleapis.com",GCP_IAM_ERROR,"You do not have permission to access this GCS Bucket.",1
